unit,state,unit_fe,group,g,year,year_fe,treat,rel_year,rel_year_binned,error,te,te_dynamic,dep_var,w
1,5,0.718703388030299,Group 3,0,1990,-0.107771526185977,false,Inf,Inf,-0.389488637905826,0,0.0,0.221443223938495,1.5
1,5,0.718703388030299,Group 3,0,1991,1.02819566035437,false,Inf,Inf,-0.94994359743803,0,0.0,0.796955450946635,1.5
1,5,0.718703388030299,Group 3,0,1992,0.233654809023421,false,Inf,Inf,-0.34787959191673,0,0.0,0.604478605136989,2.0
1,5,0.718703388030299,Group 3,0,1993,-1.0518712472608,false,Inf,Inf,-0.601924090813839,0,0.0,-0.935091950044343,0.5
1,5,0.718703388030299,Group 3,0,1994,0.34884030313606,false,Inf,Inf,1.73899711073123,0,0.0,2.80654080189759,1.5
1,5,0.718703388030299,Group 3,0,1995,-0.244234160366644,false,Inf,Inf,3.14201981451752,0,0.0,3.61648904218118,1.0
1,5,0.718703388030299,Group 3,0,1996,0.595901199107729,false,Inf,Inf,0.219273085616659,0,0.0,1.53387767275469,0.5
1,5,0.718703388030299,Group 3,0,1997,0.403462210860798,false,Inf,Inf,1.50229138052761,0,0.0,2.62445697941871,2.0
1,5,0.718703388030299,Group 3,0,1998,0.515445521009617,false,Inf,Inf,-0.863940628090705,0,0.0,0.370208280949211,1.5
1,5,0.718703388030299,Group 3,0,1999,-0.883088075453882,false,Inf,Inf,0.650732476219498,0,0.0,0.486347788795915,1.0
1,5,0.718703388030299,Group 3,0,2000,0.616623929056758,false,Inf,Inf,-1.39954652553861,0,0.0,-0.0642192084515529,1.5
1,5,0.718703388030299,Group 3,0,2001,0.321951939937819,false,Inf,Inf,2.44259379403716,0,0.0,3.48324912200528,2.0
1,5,0.718703388030299,Group 3,0,2002,0.722115448384555,false,Inf,Inf,-0.635491808533025,0,0.0,0.805327027881829,0.5
1,5,0.718703388030299,Group 3,0,2003,0.671485368675437,false,Inf,Inf,1.70249645415722,0,0.0,3.09268521086296,1.0
1,5,0.718703388030299,Group 3,0,2004,-1.0049973354522,false,Inf,Inf,-0.680974254684313,0,0.0,-0.967268202106218,1.0
1,5,0.718703388030299,Group 3,0,2005,0.0294920228351355,false,Inf,Inf,-0.78622899033851,0,0.0,-0.038033579473076,0.5
1,5,0.718703388030299,Group 3,0,2006,-0.227385152535654,false,Inf,Inf,-0.449082681399401,0,0.0,0.0422355540952442,1.5
1,5,0.718703388030299,Group 3,0,2007,0.05314386317364,false,Inf,Inf,-1.30624908851225,0,0.0,-0.534401837308309,1.5
1,5,0.718703388030299,Group 3,0,2008,1.17443440602748,false,Inf,Inf,-0.116599694038413,0,0.0,1.77653810001936,1.5
1,5,0.718703388030299,Group 3,0,2009,-0.857515838142749,false,Inf,Inf,0.102252589824471,0,0.0,-0.0365598602879793,1.0
1,5,0.718703388030299,Group 3,0,2010,-0.449531488815626,false,Inf,Inf,-0.187284972659137,0,0.0,0.0818869265555362,1.0
1,5,0.718703388030299,Group 3,0,2011,1.76054382793227,false,Inf,Inf,0.24942147074221,0,0.0,2.72866868670478,2.0
